b,k,periodo,estabilidad
ExactReal{Float64}(-20),ExactReal{Float64}(-22.5),2,"Estable porque existe landa = [0.147702, 0.147703]_com con |landa| < 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-23),2,"Inestable porque existe landa = [-1.1666, -1.16659]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-23.75),2,"Inestable porque existe landa = [-2.69472, -2.69471]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-24),2,"Inestable porque existe landa = [-3.10551, -3.1055]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-24.25),2,"Inestable porque existe landa = [-3.47404, -3.47403]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-25.5),2,"Inestable porque existe landa = [-4.80094, -4.80092]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-25.5),3,"Inestable porque existe landa = [11.5666, 11.5667]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-25.75),3,"Inestable porque existe landa = [-3.84168, -3.84167]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-26),2,"Inestable porque existe landa = [-5.14181, -5.1418]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-26.25),3,"Inestable porque existe landa = [-3.79496, -3.79495]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-26.5),2,"Inestable porque existe landa = [-5.39944, -5.39943]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-26.5),3,"Inestable porque existe landa = [-3.69674, -3.69673]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-26.75),2,"Inestable porque existe landa = [-5.50103, -5.50101]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-27),2,"Inestable porque existe landa = [-5.58624, -5.58623]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-27),3,"Inestable porque existe landa = [17.8138, 17.8139]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-27.5),3,"Inestable porque existe landa = [-2.91098, -2.91097]_com con |landa| > 1"
ExactReal{Float64}(-20),ExactReal{Float64}(-27.75),4,"Inestable porque existe landa = [-99.3061, -99.306]_com con |landa| > 1"
