b,k,periodo,estabilidad
-20.0,-22.75,2,E
-20.0,-23.5,2,I
-20.0,-24.0,2,I
-20.0,-24.75,2,I
-20.0,-24.75,3,I
-20.0,-25.25,2,I
-20.0,-26.0,3,I
-20.0,-26.25,3,I
-20.0,-26.5,2,I
-20.0,-27.0,3,I
-20.0,-27.25,2,I
-20.0,-27.25,3,I
-20.0,-27.75,2,I
-20.0,-28.25,2,I
-20.0,-28.25,3,I
-20.0,-28.5,2,I
-20.0,-28.5,3,I
-20.0,-28.75,2,I
-20.0,-28.75,3,I
-20.0,-29.0,2,I
-20.0,-29.0,3,E
-20.0,-29.25,3,I
-20.0,-29.5,2,I
-20.0,-29.5,3,E
-20.0,-29.75,2,I
-20.0,-30.0,3,E
-20.0,-30.0,5,I
-20.0,-30.25,2,I
-20.0,-30.25,3,E
-20.0,-30.75,3,I
-20.0,-31.0,2,I
-20.0,-31.0,3,E
-20.0,-31.25,2,I
-20.0,-31.5,3,I
-20.0,-32.25,2,I
-20.0,-32.25,3,I
-20.0,-32.5,3,I
-20.0,-32.75,3,I
-20.0,-32.75,5,I
-20.0,-33.25,2,I
-20.0,-34.0,3,I
-20.0,-34.25,2,I
-20.0,-34.25,4,I
-20.0,-34.5,2,I
-20.0,-34.5,3,I
-20.0,-34.5,4,I
-20.0,-34.75,2,I
-20.0,-34.75,4,I
-20.0,-35.5,4,I
-20.0,-35.75,2,I
-20.0,-36.0,2,I
-20.0,-36.25,2,I
-20.0,-36.5,2,I
-20.0,-36.75,2,I
-20.0,-36.75,4,I
-20.0,-37.0,2,I
-20.0,-37.25,4,I
-20.0,-38.0,2,E
-20.0,-38.25,2,E
-20.0,-38.5,2,E
-20.0,-38.75,2,E
-20.0,-39.0,2,E
-20.0,-39.25,2,E
-20.0,-39.5,2,E
-20.0,-39.75,2,E
-20.0,-40.25,2,E
-20.0,-40.5,2,E
-20.0,-40.75,2,E
-20.0,-41.0,2,E
-20.0,-41.25,2,E
-20.0,-41.5,2,E
-20.0,-41.75,2,E
-20.0,-42.0,2,E
-20.0,-42.25,2,I
-20.0,-42.5,2,I
-20.0,-43.0,2,I
-20.0,-43.25,2,I
-20.0,-43.5,2,I
-20.0,-44.25,2,I
-20.0,-44.25,4,I
-20.0,-44.5,2,I
-20.0,-44.5,4,I
-20.0,-44.75,2,I
-20.0,-44.75,4,I
-20.0,-45.0,2,I
-19.75,-22.25,2,E
-19.75,-22.5,2,E
-19.75,-23.75,3,E
-19.75,-24.25,3,I
-19.75,-24.75,3,I
-19.75,-25.0,2,I
-19.75,-25.0,3,I
-19.75,-25.25,2,I
-19.75,-25.75,3,I
-19.75,-26.0,2,I
-19.75,-26.0,3,I
-19.75,-26.25,3,I
-19.75,-26.5,3,I
-19.75,-26.75,2,I
-19.75,-27.25,3,I
-19.75,-27.5,3,I
-19.75,-27.75,3,I
-19.75,-28.0,3,I
-19.75,-28.25,3,I
-19.75,-28.5,3,I
-19.75,-28.75,2,I
-19.75,-28.75,3,E
-19.75,-29.0,3,E
-19.75,-29.25,2,I
-19.75,-29.25,3,E
-19.75,-29.5,3,E
-19.75,-29.75,2,I
-19.75,-29.75,3,E
-19.75,-30.0,2,I
-19.75,-30.0,3,E
-19.75,-30.25,2,I
-19.75,-30.25,3,E
-19.75,-30.5,3,I
-19.75,-30.75,2,I
-19.75,-31.0,2,I
-19.75,-31.0,3,I
-19.75,-31.25,2,I
-19.75,-31.5,2,I
-19.75,-31.5,3,I
-19.75,-31.75,2,I
-19.75,-32.0,3,I
-19.75,-32.0,4,I
-19.75,-32.25,3,I
-19.75,-32.5,3,I
-19.75,-32.75,3,I
-19.75,-32.75,5,I
-19.75,-33.0,2,I
-19.75,-33.0,4,I
-19.75,-33.25,2,I
-19.75,-33.5,4,I
-19.75,-33.75,3,I
-19.75,-34.25,2,I
-19.75,-34.75,2,I
-19.75,-34.75,4,I
-19.75,-35.0,2,I
-19.75,-36.25,2,I
-19.75,-36.25,4,I
-19.75,-36.5,2,I
-19.75,-36.75,2,I
-19.75,-37.5,2,E
-19.75,-38.0,2,E
-19.75,-38.25,2,E
-19.75,-38.5,2,E
-19.75,-38.75,2,E
-19.75,-39.0,2,E
-19.75,-39.25,2,E
-19.75,-39.5,2,E
-19.75,-40.0,2,E
-19.75,-40.25,2,E
-19.75,-40.5,2,E
-19.75,-40.75,2,E
-19.75,-41.0,2,E
-19.75,-41.25,2,E
-19.75,-41.5,2,E
