nu,periodo,estabilidad
3.4,2,E
3.4,2,E
3.4,2,E
3.4,2,E
3.405,2,E
3.405,2,E
3.41,2,E
3.41,2,E
3.415,2,E
3.415,2,E
3.42,2,E
3.42,2,E
3.425,2,E
3.425,2,E
3.43,2,E
3.43,2,E
3.43,2,E
3.43,2,E
3.435,2,E
3.435,2,E
3.435,2,E
3.44,2,E
3.445,2,E
3.445,2,E
3.445,2,E
3.45,2,I
3.45,2,I
3.45,4,E
3.45,4,E
3.45,4,E
3.45,4,E
3.455,2,I
3.455,2,I
3.455,2,I
3.455,4,E
3.455,4,E
3.46,2,I
3.46,2,I
3.46,4,E
3.46,4,E
3.465,2,I
3.465,2,I
3.465,2,I
3.465,4,E
3.465,4,E
3.47,2,I
3.47,2,I
3.47,2,I
3.47,4,E
3.47,4,E
3.475,2,I
3.475,2,I
3.475,2,I
3.475,4,E
3.475,4,E
3.475,4,E
3.475,4,E
3.48,2,I
3.48,2,I
3.48,4,E
3.485,2,I
3.485,2,I
3.485,4,E
3.485,4,E
3.49,2,I
3.49,2,I
3.49,2,I
3.49,4,E
3.49,4,E
3.495,2,I
3.495,2,I
3.495,4,E
3.495,4,E
3.495,4,E
3.5,2,I
3.5,2,I
3.505,2,I
3.505,2,I
3.505,4,E
3.505,4,E
3.505,4,E
3.505,4,E
3.51,2,I
3.51,4,E
3.515,2,I
3.515,2,I
3.515,2,I
3.515,2,I
3.515,4,E
3.515,4,E
3.515,4,E
3.52,2,I
3.52,4,E
3.52,4,E
3.52,4,E
3.525,4,E
3.525,4,E
3.53,2,I
3.53,2,I
3.53,4,E
3.53,4,E
3.535,2,I
3.535,2,I
3.535,4,E
3.54,2,I
3.54,4,E
3.54,4,E
3.54,4,E
3.545,2,I
3.545,2,I
3.545,4,I
3.545,4,I
3.545,8,E
3.545,8,E
3.55,2,I
3.55,4,I
3.55,4,I
3.55,4,I
3.55,8,E
3.555,2,I
3.555,4,I
3.555,4,I
3.555,8,E
3.56,2,I
3.56,2,I
3.56,4,I
3.56,8,E
3.56,8,E
3.565,2,I
3.565,2,I
3.565,2,I
3.565,4,I
3.565,4,I
3.565,8,I
3.565,8,I
3.57,2,I
3.57,2,I
3.57,2,I
3.57,4,I
3.57,4,I
3.575,2,I
3.575,4,I
3.575,4,I
3.575,8,I
3.575,8,I
3.58,2,I
3.58,2,I
3.58,4,I
3.58,4,I
3.58,4,I
3.58,8,I
3.585,2,I
3.585,2,I
3.585,2,I
3.585,8,I
3.585,8,I
3.59,2,I
3.59,2,I
3.59,4,I
3.59,8,I
3.59,8,I
3.59,8,I
3.595,2,I
3.595,4,I
3.595,8,I
3.6,2,I
3.6,2,I
3.6,2,I
3.6,4,I
3.6,4,I
3.6,8,I
3.605,2,I
3.605,2,I
3.605,4,I
3.605,4,I
3.605,4,I
3.61,2,I
3.61,2,I
3.61,2,I
3.61,4,I
3.61,8,I
3.61,8,I
3.61,10,I
3.615,2,I
3.615,2,I
3.615,2,I
3.615,4,I
3.615,4,I
3.615,8,I
3.615,10,I
3.62,2,I
3.62,2,I
3.62,2,I
3.62,4,I
3.62,4,I
3.62,8,I
3.62,8,I
3.62,8,I
3.625,2,I
3.625,2,I
3.625,2,I
3.625,2,I
3.625,4,I
3.625,8,I
3.625,8,I
3.625,8,I
3.625,10,I
3.625,10,I
3.625,10,I
3.63,2,I
3.63,2,I
3.63,2,I
3.63,2,I
3.63,4,I
3.63,4,I
3.63,6,E
3.63,6,I
3.63,6,E
3.63,6,E
3.63,8,I
3.63,10,I
3.63,10,I
3.63,10,I
3.635,2,I
3.635,2,I
3.635,4,I
3.635,4,I
3.635,6,I
3.635,6,I
3.635,6,I
3.635,8,I
3.635,8,I
3.635,8,I
3.635,10,I
3.635,10,I
3.635,10,I
3.64,2,I
3.64,4,I
3.64,4,I
3.64,6,I
3.64,6,I
3.64,6,I
3.64,6,I
3.64,10,I
3.645,2,I
3.645,2,I
3.645,2,I
3.645,4,I
3.645,6,I
3.645,6,I
3.645,6,I
3.645,6,I
3.645,8,I
3.645,10,I
3.65,2,I
3.65,4,I
3.65,4,I
3.65,4,I
3.65,4,I
3.65,6,I
3.65,6,I
3.65,6,I
3.65,6,I
3.65,8,I
3.65,10,I
3.65,10,I
3.655,2,I
3.655,4,I
3.655,4,I
3.655,4,I
3.655,4,I
3.655,6,I
3.655,6,I
3.655,8,I
3.655,8,I
3.655,10,I
3.655,10,I
3.66,2,I
3.66,2,I
3.66,2,I
3.66,2,I
3.66,4,I
3.66,4,I
3.66,6,I
3.66,6,I
3.66,6,I
3.66,6,I
3.66,8,I
3.66,8,I
3.66,8,I
3.66,10,I
3.66,10,I
3.665,2,I
3.665,4,I
3.665,4,I
3.665,6,I
3.665,6,I
3.665,8,I
3.665,8,I
3.665,8,I
3.665,8,I
3.665,10,I
3.665,10,I
3.665,10,I
3.665,10,I
3.67,2,I
3.67,2,I
3.67,2,I
3.67,4,I
3.67,4,I
3.67,6,I
3.67,6,I
3.67,6,I
3.67,8,I
3.67,8,I
3.67,8,I
3.67,10,I
3.67,10,I
3.67,10,I
3.675,2,I
3.675,2,I
3.675,4,I
3.675,4,I
3.675,6,I
3.675,6,I
3.675,6,I
3.675,8,I
3.675,8,I
3.675,8,I
3.675,8,I
3.675,10,I
3.675,10,I
3.675,10,I
3.68,2,I
3.68,2,I
3.68,4,I
3.68,4,I
3.68,4,I
3.68,6,I
3.68,6,I
3.68,6,I
3.68,6,I
3.68,8,I
3.68,8,I
3.68,10,I
3.68,10,I
3.68,10,I
3.68,10,I
3.685,2,I
3.685,2,I
3.685,2,I
3.685,4,I
3.685,4,I
3.685,4,I
3.685,6,I
3.685,6,I
3.685,6,I
3.685,6,I
3.685,8,I
3.685,8,I
3.685,10,I
3.685,10,I
3.685,10,I
3.685,10,I
3.685,11,I
3.69,2,I
3.69,2,I
3.69,2,I
3.69,4,I
3.69,4,I
3.69,4,I
3.69,4,I
3.69,6,I
3.69,6,I
3.69,6,I
3.69,6,I
3.69,8,I
3.69,8,I
3.69,9,I
3.69,9,I
3.69,9,I
3.69,9,I
3.69,10,I
3.69,10,I
3.695,2,I
3.695,2,I
3.695,2,I
3.695,4,I
3.695,4,I
3.695,6,I
3.695,6,I
3.695,6,I
3.695,8,I
3.695,8,I
3.695,8,I
3.695,9,I
3.695,9,I
3.695,10,I
3.695,10,I
3.695,10,I
3.7,2,I
3.7,2,I
3.7,2,I
3.7,4,I
3.7,4,I
3.7,4,I
3.7,6,I
3.7,6,I
3.7,6,I
3.7,8,I
3.7,8,I
3.7,8,I
3.7,9,I
3.7,10,I
3.7,10,I
3.7,10,I
3.7,11,I
3.7,11,I
3.7,11,I
3.705,2,I
3.705,2,I
3.705,4,I
3.705,4,I
3.705,6,I
3.705,6,I
3.705,6,I
3.705,6,I
3.705,7,I
3.705,7,I
3.705,7,I
3.705,8,I
3.705,8,I
3.705,8,I
3.705,8,I
3.705,9,I
3.705,10,I
3.705,10,I
