nu,periodo,estabilidad
3.4,2,E
3.4,2,E
3.4,2,E
3.4,2,E
3.4,2,E
3.4005,2,E
3.4005,2,E
3.4005,2,E
3.401,2,E
3.401,2,E
3.4015,2,E
3.4015,2,E
3.4015,2,E
3.402,2,E
3.402,2,E
3.4025,2,E
3.403,2,E
3.403,2,E
3.4035,2,E
3.4035,2,E
3.4035,2,E
3.404,2,E
3.404,2,E
3.4045,2,E
3.405,2,E
3.4055,2,E
3.4055,2,E
3.4055,2,E
3.406,2,E
3.406,2,E
3.406,2,E
3.406,2,E
3.4065,2,E
3.4065,2,E
3.407,2,E
3.407,2,E
3.407,2,E
3.4075,2,E
3.4075,2,E
3.408,2,E
3.408,2,E
3.4085,2,E
3.4085,2,E
3.4085,2,E
3.4085,2,E
3.409,2,E
3.4095,2,E
3.41,2,E
3.4105,2,E
3.411,2,E
3.411,2,E
3.4115,2,E
3.4115,2,E
3.412,2,E
3.412,2,E
3.412,2,E
3.4125,2,E
3.4125,2,E
3.413,2,E
3.413,2,E
3.413,2,E
3.4135,2,E
3.4135,2,E
3.4135,2,E
3.4135,2,E
3.414,2,E
3.414,2,E
3.414,2,E
3.414,2,E
3.4145,2,E
3.4145,2,E
3.415,2,E
3.415,2,E
3.415,2,E
3.416,2,E
3.416,2,E
3.416,2,E
3.416,2,E
3.416,2,E
3.4165,2,E
3.4165,2,E
3.4165,2,E
3.417,2,E
3.417,2,E
3.417,2,E
3.417,2,E
3.4175,2,E
3.4185,2,E
3.4185,2,E
3.4185,2,E
3.419,2,E
3.4195,2,E
3.4195,2,E
3.4195,2,E
3.42,2,E
3.42,2,E
3.42,2,E
3.42,2,E
3.4205,2,E
3.421,2,E
3.421,2,E
3.421,2,E
3.421,2,E
3.4215,2,E
3.422,2,E
3.422,2,E
3.422,2,E
3.4225,2,E
3.4225,2,E
3.4225,2,E
3.423,2,E
3.423,2,E
3.423,2,E
3.4235,2,E
3.4235,2,E
3.4235,2,E
3.424,2,E
3.424,2,E
3.4245,2,E
3.4245,2,E
3.4245,2,E
3.4245,2,E
3.425,2,E
3.425,2,E
3.425,2,E
3.4255,2,E
3.4255,2,E
3.4255,2,E
3.426,2,E
3.4265,2,E
3.4265,2,E
3.4265,2,E
3.4265,2,E
3.427,2,E
3.4275,2,E
3.4275,2,E
3.4275,2,E
3.428,2,E
3.428,2,E
3.428,2,E
3.4285,2,E
3.4285,2,E
3.429,2,E
3.429,2,E
3.4295,2,E
3.4295,2,E
3.4295,2,E
3.43,2,E
3.4305,2,E
3.4305,2,E
3.4305,2,E
3.4305,2,E
3.431,2,E
3.431,2,E
3.431,2,E
3.4315,2,E
3.4315,2,E
3.4315,2,E
3.432,2,E
3.432,2,E
3.432,2,E
3.4325,2,E
3.4325,2,E
3.4325,2,E
3.4325,2,E
3.433,2,E
3.433,2,E
3.4335,2,E
3.4335,2,E
3.434,2,E
3.434,2,E
3.4345,2,E
3.4345,2,E
3.4345,2,E
3.435,2,E
3.435,2,E
3.4355,2,E
3.4355,2,E
3.4355,2,E
3.436,2,E
3.436,2,E
3.436,2,E
3.4365,2,E
3.4365,2,E
3.4365,2,E
3.4365,2,E
3.437,2,E
3.437,2,E
3.4375,2,E
3.4375,2,E
3.438,2,E
3.438,2,E
3.438,2,E
3.438,2,E
3.4385,2,E
3.4385,2,E
3.439,2,E
3.439,2,E
3.439,2,E
3.439,2,E
3.4395,2,E
3.4395,2,E
3.44,2,E
3.44,2,E
3.4405,2,E
3.4405,2,E
3.4405,2,E
3.4405,2,E
3.441,2,E
3.441,2,E
3.4415,2,E
3.4415,2,E
3.442,2,E
3.4425,2,E
3.4425,2,E
3.4425,2,E
3.4425,2,E
3.443,2,E
3.443,2,E
3.443,2,E
3.443,2,E
3.4435,2,E
3.444,2,E
3.4445,2,E
3.4445,2,E
3.445,2,E
3.445,2,E
3.4455,2,E
3.4455,2,E
3.4455,2,E
3.4455,2,E
3.4455,2,E
3.446,2,E
3.4465,2,E
3.447,2,E
3.447,2,E
3.447,2,E
3.4475,2,E
3.4475,2,E
3.4475,2,E
3.448,2,E
3.448,2,E
3.4485,2,E
3.4485,2,E
3.449,2,E
3.449,2,E
3.449,2,E
3.4495,2,I
3.4495,2,I
3.4495,4,E
3.4495,4,E
3.4495,4,E
3.4495,4,E
3.4495,4,E
3.45,2,I
3.45,2,I
3.45,2,I
3.45,4,E
3.45,4,E
3.45,4,E
3.45,4,E
3.4505,2,I
3.4505,2,I
3.4505,4,E
3.4505,4,E
3.4505,4,E
3.4505,4,E
3.451,2,I
3.451,4,E
3.451,4,E
3.451,4,E
3.4515,2,I
3.4515,4,E
3.4515,4,E
3.4515,4,E
3.452,2,I
3.452,2,I
3.452,2,I
3.452,4,E
3.452,4,E
3.452,4,E
3.452,4,E
3.452,4,E
3.4525,2,I
3.4525,4,E
3.4525,4,E
3.4525,4,E
3.453,2,I
3.453,4,E
3.453,4,E
3.453,4,E
3.453,4,E
3.453,4,E
3.4535,2,I
3.4535,2,I
3.4535,2,I
3.4535,4,E
3.4535,4,E
3.4535,4,E
3.454,2,I
3.454,2,I
3.454,4,E
3.454,4,E
3.454,4,E
3.454,4,E
3.4545,2,I
3.4545,2,I
3.4545,2,I
3.4545,4,E
3.4545,4,E
3.4545,4,E
3.4545,4,E
3.455,2,I
3.455,2,I
3.455,2,I
3.455,2,I
3.455,4,E
3.455,4,E
3.455,4,E
3.455,4,E
3.4555,2,I
3.4555,2,I
3.4555,2,I
3.4555,2,I
3.4555,2,I
3.4555,4,E
3.4555,4,E
3.4555,4,E
3.4555,4,E
3.456,2,I
3.456,2,I
3.456,2,I
3.456,4,E
3.456,4,E
3.456,4,E
3.4565,2,I
3.4565,2,I
3.4565,4,E
3.4565,4,E
3.4565,4,E
3.457,2,I
3.457,2,I
3.457,2,I
3.457,4,E
3.457,4,E
3.457,4,E
3.4575,2,I
3.4575,2,I
3.4575,4,E
3.4575,4,E
3.458,2,I
3.458,2,I
3.458,2,I
3.458,4,E
3.4585,2,I
3.4585,2,I
3.4585,4,E
3.4585,4,E
3.4585,4,E
3.459,2,I
3.459,2,I
3.459,2,I
3.459,2,I
3.459,4,E
3.459,4,E
3.4595,2,I
3.4595,2,I
3.4595,2,I
3.4595,4,E
3.4595,4,E
3.46,2,I
3.46,2,I
3.46,2,I
3.46,4,E
3.46,4,E
3.46,4,E
3.4605,2,I
3.4605,2,I
3.4605,2,I
3.4605,2,I
3.4605,4,E
3.4605,4,E
3.4605,4,E
3.4605,4,E
3.461,2,I
3.461,4,E
3.461,4,E
3.4615,2,I
3.4615,2,I
3.4615,2,I
3.4615,4,E
3.4615,4,E
3.4615,4,E
3.4615,4,E
3.462,2,I
3.462,2,I
3.462,4,E
3.462,4,E
3.462,4,E
3.4625,2,I
3.4625,2,I
3.4625,2,I
3.4625,4,E
3.4625,4,E
3.4625,4,E
3.463,2,I
3.463,2,I
3.463,2,I
3.463,4,E
3.463,4,E
3.463,4,E
